"","nom","pop_density"
"349","Obokote",10.4766266279251
"350","Punia",15.060725838608
"351","Bumba",1046.55185342892
"352","Lolo",61.2825710094525
"353","Yamaluka",87.3775123396329
"354","Yambuku",59.0415331929347
"355","Yamongili",48.3400807773712
"356","Binga",44.8502577878632
"357","Bongandanga",7.36422446272451
"358","Boso Manzi",31.7464880814703
"359","Boso Mondanda",27.1927468781412
"360","Bosondjo",30.834154269269
"361","Lisala",66.2301120302151
"362","Pimu",38.4011792519494
"363","Alimbongo",80.1216286626615
"364","Beni",583.694814150159
"365","Biena",117.808492237836
"366","Butembo",3648.62216219997
"367","Kalunguta",217.291453102909
"368","Kamango",120.809447696771
"369","Katwa",7809.37779884317
"370","Kyondo",287.209696136707
"371","Lubero",171.487626671977
"372","Mabalako",224.427753196912
"373","Manguredjipa",9.59707431221604
"374","Masereka",859.910963009083
"375","Musienene",272.413057812586
"376","Mutwanga",164.669385030576
"377","Oicha",217.407676331775
"378","Vuhovi",380.412706373374
"379","Bambo",160.925384497737
"380","Binza",158.19428305996
"381","Birambizo",247.96652725493
"382","Goma",8413.39578071933
"383","Itebero",16.7048975997448
"384","Karisimbi",8149.33562491542
"385","Katoyi",272.002275090484
"386","Kayna",306.817765415359
"387","Kibirizi",136.222944385906
"388","Kibua",30.2978812944334
"389","Kirotshe",585.226387370459
"390","Masisi",292.049090334141
"391","Mweso",285.769674364967
"392","Nyiragongo",622.757397486925
"393","Pinga",12.6220404039282
"394","Rutshuru",444.17166355212
"395","Rwanguba",435.830230696316
"396","Walikale",26.9115902179874
"397","Abuzi",12.7789040762929
"398","Bili (Nord-Ubangi)",33.1600961706688
"399","Bosobolo",32.1511944480243
"400","Businga",26.2865608567362
"401","Gbadolite",90.6145368961813
"402","Karawa",103.012032599636
"403","Loko",28.7577983085941
"404","Mobayi Mbongo",20.7337936100598
"405","Wapinda",29.013407215729
"406","Wasolo",84.1365408619555
"407","Yakoma",112.912021677579
"408","Bena Dibele",25.1843428648886
"409","Djalo Ndjeka",44.6341727459677
"410","Katako Kombe",12.4132688915065
"411","Kole",15.8674002914226
"412","Lodja",219.725822555666
"413","Lomela",9.16743745216047
"414","Lusambo",25.0938385075311
"415","Omendjadi",33.7848108866019
"416","Ototo",42.5674704498685
"417","Tshudi Loto",6.47840404818003
"418","Vanga Kete",57.3824016096254
"419","Dikungu",35.6903447549347
"420","Minga",21.5627197623005
"421","Pania Mutombo",14.3561281785872
"422","Tshumbe",31.2987201468046
"423","Wembo Nyama",39.6670128311643
