"","nom","pop_count"
"373","Manguredjipa",68013.7287993651
"374","Masereka",298636.156530351
"375","Musienene",348391.565967863
"376","Mutwanga",255278.359169078
"377","Oicha",274997.934806786
"378","Vuhovi",151952.6429739
"379","Bambo",134970.462815797
"380","Binza",191405.66379277
"381","Birambizo",127939.297461902
"382","Goma",282838.298423046
"383","Itebero",96851.1840207458
"384","Karisimbi",403400.688067297
"385","Katoyi",253834.505171522
"386","Kayna",322627.850693047
"387","Kibirizi",185416.374839013
"388","Kibua",63614.8906077197
"389","Kirotshe",541954.697708047
"390","Masisi",356753.827128422
"391","Mweso",289637.125197197
"392","Nyiragongo",248138.636326646
"393","Pinga",101157.348245099
"394","Rutshuru",343487.215947068
"395","Rwanguba",320999.396267102
"396","Walikale",176259.344236267
"397","Abuzi",143495.897079163
"398","Bili (Nord-Ubangi)",215958.326872772
"399","Bosobolo",206345.438572375
"400","Businga",153726.411652417
"401","Gbadolite",188077.078941805
"402","Karawa",335469.043764877
"403","Loko",166235.41552803
"404","Mobayi Mbongo",155335.922676002
"405","Wapinda",97711.9715464937
"406","Wasolo",99273.9824305183
"407","Yakoma",167061.6206003
"408","Bena Dibele",141043.681627981
"409","Djalo Ndjeka",82016.5682116863
"410","Katako Kombe",179220.854645882
"411","Kole",169505.465871231
"412","Lodja",410715.32437797
"413","Lomela",147856.413844977
"414","Lusambo",172555.14554542
"415","Omendjadi",164319.496269777
"416","Ototo",187594.711543571
"417","Tshudi Loto",75160.6757524857
"418","Vanga Kete",188186.087554384
"419","Dikungu",156966.748990659
"420","Minga",167408.032814655
"421","Pania Mutombo",79458.8023750868
"422","Tshumbe",150797.072458631
"423","Wembo Nyama",125859.933293634
"424","Bagira",211256.487737879
"425","Bunyakiri",222892.694411349
"426","Ibanda",368152.170708707
"427","Idjwi",275582.22988952
"428","Kabare",312733.67913993
"429","Kadutu",267941.620753476
"430","Kalehe",178353.89458843
"431","Kalole",170687.27458817
"432","Kalonge",138362.66698974
"433","Kamituga",136834.943903111
"434","Kaniola",225669.426489456
"435","Katana",248136.929012709
"436","Kaziba",116320.804051614
"437","Kitutu",166071.705241436
"438","Lulingu",131970.805198763
"439","Minova",341381.302887561
"440","Miti Murhesa",303982.79461199
"441","Mubumbano",244896.252339659
"442","Mulungu",121467.892461611
"443","Mwana",241869.440695238
"444","Mwenga",125153.215624483
"445","Nyangezi",166899.204253532
"446","Nyantende",171660.282316635
"447","Shabunda",244338.486021253
"448","Walungu",332722.899691326
"449","Fizi",512745.207053861
"450","Haut Plateau",73828.8562115194
"451","Itombwe",69301.929669531
"452","Kimbi Lulenge",196140.985869484
"453","Lemera",248475.20319609
"454","Minembwe",107874.495482433
"455","Nundu",185715.195553474
"456","Ruzizi",279730.324909974
"457","Uvira",424289.013962265
"458","Bangabola",162080.126902068
"459","Bogosenubea",245338.319993933
"460","Bokonzi",238075.424264785
"461","Bominenge",124074.018666259
"462","Boto",250490.494275054
"463","Budjala",196391.468774631
"464","Bulu",167481.440225607
"465","Bwamanda",366515.210716576
"466","Gemena",539942.928712511
"467","Kungu",232549.878666973
"468","Libenge",291358.640061024
"469","Mawuya",164053.430531176
"470","Mbaya",82397.2769422509
"471","Ndage",174765.765696174
"472","Tandala",324977.477658824
"473","Zongo",122258.926348881
"474","Bafwagbogbo",65512.3550559499
"475","Bafwasende",132263.502085224
"476","Banalia",195653.723121955
"477","Bengamisa",191522.022207833
"478","Kabondo",204628.878814158
"479","Lowa",68183.0228231227
"480","Lubunga (Tshopo)",154711.572480726
"481","Makiso Kisangani",535797.872761369
"482","Mangobo",188651.520497525
"483","Opala",181723.906603141
"484","Opienge",48425.3582314957
"485","Tshopo",172884.632292774
"486","Ubundu",157479.354022615
"487","Wanierukula",155297.06041224
"488","Yahisuli",127247.501668853
"489","Yakusu",155690.098433475
"490","Yaleko",216624.296688856
"491","Basali",71182.165333241
"492","Basoko",205746.366156449
"493","Isangi",243447.013722477
"494","Yabaondo",227450.874508204
"495","Yahuma",218431.478294389
"496","Yalimbongo",112529.510491659
"497","Befale",150305.194195629
"498","Boende",375960.029902932
"499","Djolu",341802.970023098
"500","Lingomo",196597.613727685
"501","Mompono",142741.572742211
"502","Monkoto",184600.594464535
"503","Wema",119541.063124113
"504","Bokungu",222295.459027885
"505","Busanga",90481.2726486424
"506","Ikela",184905.60755671
"507","Mondombe",228427.899054548
"508","Yalifafu",171841.763425366
"509","Ankoro",212229.558330416
"510","Kabalo",303962.609040116
"511","Kalemie",331401.787748616
"512","Kansimba",199309.8818909
"513","Kiambi",125775.579492386
"514","Kongolo",397382.983420353
"515","Manono",352497.390481259
"516","Mbulula",264450.110185649
"517","Moba",474834.174222661
"518","Nyemba",378112.208234755
"519","Nyunzu",243347.95771228
