"","nom","gdp_pc"
"472","Tandala",509.059035394727
"473","Zongo",1320.63507171781
"474","Bafwagbogbo",692.047952713099
"475","Bafwasende",686.240732290369
"476","Banalia",776.553564296024
"477","Bengamisa",822.138956793605
"478","Kabondo",1552.22113294257
"479","Lowa",887.337243056485
"480","Lubunga (Tshopo)",1500.91879196871
"481","Makiso Kisangani",1552.25230530111
"482","Mangobo",1557
"483","Opala",685.154351243905
"484","Opienge",688.506495226923
"485","Tshopo",1451.15523539212
"486","Ubundu",908.313677424088
"487","Wanierukula",902.030546333491
"488","Yahisuli",677.001468356161
"489","Yakusu",766.103401000793
"490","Yaleko",689.459227682236
"491","Basali",670.762801474396
"492","Basoko",669.165341427185
"493","Isangi",680.733595095907
"494","Yabaondo",677.951399672374
"495","Yahuma",639.688745807061
"496","Yalimbongo",668.12941159596
"497","Befale",749.423453614825
"498","Boende",766.461704010456
"499","Djolu",562.190829762928
"500","Lingomo",593.46763265058
"501","Mompono",721.437259119301
"502","Monkoto",673.075632068171
"503","Wema",746.568512992151
"504","Bokungu",633.436344355501
"505","Busanga",643.332039242376
"506","Ikela",639.724106761729
"507","Mondombe",622.351337072481
"508","Yalifafu",635.068923364614
"509","Ankoro",838.669842736827
"510","Kabalo",831.122618038457
"511","Kalemie",1565.23607347054
"512","Kansimba",776.35898359247
"513","Kiambi",838.341122679907
"514","Kongolo",681.261168844954
"515","Manono",1271.08008381839
"516","Mbulula",681.874696572758
"517","Moba",778.078406488511
"518","Nyemba",1236.5723986749
"519","Nyunzu",693.161264894078
